rf,nb,knn
0.9703802789986624,0.9490525007766388,0.9838603425559947
0.9703802789986624,0.9844672258465363,0.9838603425559947
0.9703802789986624,1.0116495806150978,0.9838603425559947
0.9793617427861647,1.0116495806150978,0.9838603425559947
0.9793617427861647,1.0116495806150978,0.9922595520421608
1.1282247276896618,1.0116495806150978,0.9965415019762845
1.3372826294668452,1.0116495806150978,1.1399868247694334
1.3372826294668452,1.0132028580304444,1.1399868247694334
1.3984330212115423,1.0599565082323703,1.1399868247694334
1.3984330212115423,1.0599565082323703,1.1399868247694334
